city,company-name,date,description,employment-form,employment-schedule,experience,key_skills,max-experience,max-salary,min-experience,min-salary,name,requirements,responsibilities,days_from_publish,min-salary-group,max-salary-group,city: Екатеринбург,city: Казань,city: Москва,city: Новосибирск,city: Санкт-Петербург,experience: Более 6 лет,experience: Нет опыта,experience: От 1 года до 3 лет,experience: От 3 до 6 лет,employment-form: Полная занятость,employment-form: Проектная работа,employment-form: Стажировка,employment-form: Частичная занятость,employment-schedule: Вахтовый метод,employment-schedule: Гибкий график,employment-schedule: Полный день,employment-schedule: Сменный график,employment-schedule: Удаленная работа,грамотность,грамотная речь,пользователь пк,английский язык,1с: документооборот,написание статей,написание текстов,немецкий язык,письменный перевод,испанский язык,other
Москва,ПЛК Групп.ру,2019-12-13T18:29:03+0300," Обязанности:       Интересно писать о высоких технологиях — посты для соцсетей, статьи для внутренних и внешних площадок;       Составлять контент-планы для корпоративного блога и соцсетей;       Редактировать тексты других авторов;       Проверять достоверность информации в текстах (фактчекинг).        Требования:        Высокая степень грамотности;       Умение обрабатывать большой объем информации;       Ответственность, внимательность, стрессоустойчивость;       Горячо приветствуется знание языков: немецкий, английский, испанский.        Условия:      Возможна как полная, так и частичная занятость;   Возможен формат удаленной работы или в офисе (м.Китай-город);   Фиксированный доход;   Условия обсуждаются индивидуально, в зависимости от типа занятости и формата работы.   ",Полная занятость,Полный день,Нет опыта,|Английский язык|Написание статей|Грамотность|Написание текстов|Грамотная речь|Немецкий язык|Письменный перевод|Испанский язык,,74782.60869565218,,47327.89855072463,автор редактор,"Высокая степень грамотности. Умение обрабатывать большой объем информации. Ответственность, внимательность, стрессоустойчивость. Горячо приветствуется знание языков: немецкий, английский, испанский.","Интересно писать о высоких технологиях — посты для соцсетей, статьи для внутренних и внешних площадок. Составлять контент-планы для корпоративного блога...",0.0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,1,1,1,1
Санкт-Петербург,Ворк,2019-12-01T08:01:35+0300," Work5 помогает студентам, когда нужно сделать все строго по методичке и успеть в срок.   Мы ищем сотрудников на  удаленную работу.    Если Вы умны, ответственны и заинтересованы в дополнительном заработке — зарегистрируйтесь и пройдите тестирование. Больше ничего не требуется, чтобы получить работу автором с постоянным доходом.    Кому подходит работа автором    Есть законченное высшее образование?   У Вас свободный доступ в интернет — не проблема?   Попробуйте себя в новом амплуа, если хоть что-то из этого можно сказать о Вас:       грамотный,       дотошный,       исполнительный,       ответственный,       умеете укладываться в дедлайн.        Мы предлагаем:        Задания на выбор.       Дополнительный доход, зависящий от Ваших умений.       Свободный график.        Работать удаленно у нас — прибыльно        Всегда много новых заказов.       Оплата стабильно раз в 2 недели.       Бонус за выполненные работы.        Как стать автором    Чтобы попасть в список исполнителей и начать получать дополнительный доход за заказы, просто зарегистрируйтесь и пройдите тестирование.   Сдав тест, Вы становитесь нашим автором и можете откликаться на заказы по своей тематике.    Если Вы кандидат или доктор наук‚ тестирование проходить не нужно. Просто пришлите скан диплома с подтверждением Вашей степени.    Делайте то, что нравится, в удобном для Вас графике и получайте дополнительный доход, работая с Work5.     ",Частичная занятость,Удаленная работа,Нет опыта,|Английский язык|Пользователь ПК|1С: Документооборот|Грамотность|Грамотная речь,,100000.0,,50000.0,автор по информатике,"Есть законченное высшее образование? У Вас свободный доступ в интернет — не проблема? Попробуйте себя в новом амплуа, если хоть что...",Кому подходит работа автором. Всегда много новых заказов. Как стать автором.,0.4,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1
Санкт-Петербург,Ворк,2019-12-01T08:01:33+0300," Work5 помогает студентам, когда нужно сделать все строго по методичке и успеть в срок.   Мы ищем сотрудников на  удаленную работу.    Если Вы умны, ответственны и заинтересованы в дополнительном заработке — зарегистрируйтесь и пройдите тестирование. Больше ничего не требуется, чтобы получить работу автором с постоянным доходом.    Кому подходит работа автором    Есть законченное высшее образование?   У Вас свободный доступ в интернет — не проблема?   Попробуйте себя в новом амплуа, если хоть что-то из этого можно сказать о Вас:       грамотный,       дотошный,       исполнительный,       ответственный,       умеете укладываться в дедлайн.        Мы предлагаем:        Задания на выбор.       Дополнительный доход, зависящий от Ваших умений.       Свободный график.        Работать удаленно у нас — прибыльно        Всегда много новых заказов.       Оплата стабильно раз в 2 недели.       Бонус за выполненные работы.        Как стать автором    Чтобы попасть в список исполнителей и начать получать дополнительный доход за заказы, просто зарегистрируйтесь и пройдите тестирование.   Сдав тест, Вы становитесь нашим автором и можете откликаться на заказы по своей тематике.    Если Вы кандидат или доктор наук‚ тестирование проходить не нужно. Просто пришлите скан диплома с подтверждением Вашей степени.    Делайте то, что нравится, в удобном для Вас графике и получайте дополнительный доход, работая с Work5.     ",Частичная занятость,Удаленная работа,Нет опыта,|Английский язык|Пользователь ПК|1С: Документооборот|Грамотность|Грамотная речь,,100000.0,,50000.0,автор по сетям и системам связи,"Есть законченное высшее образование? У Вас свободный доступ в интернет — не проблема? Попробуйте себя в новом амплуа, если хоть что...",Кому подходит работа автором. Всегда много новых заказов. Как стать автором.,0.4,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1
Санкт-Петербург,Ворк,2019-12-01T08:01:34+0300," Work5 помогает студентам, когда нужно сделать все строго по методичке и успеть в срок.   Мы ищем сотрудников на  удаленную работу.    Если Вы умны, ответственны и заинтересованы в дополнительном заработке — зарегистрируйтесь и пройдите тестирование. Больше ничего не требуется, чтобы получить работу автором с постоянным доходом.    Кому подходит работа автором    Есть законченное высшее образование?   У Вас свободный доступ в интернет — не проблема?   Попробуйте себя в новом амплуа, если хоть что-то из этого можно сказать о Вас:       грамотный,       дотошный,       исполнительный,       ответственный,       умеете укладываться в дедлайн.        Мы предлагаем:        Задания на выбор.       Дополнительный доход, зависящий от Ваших умений.       Свободный график.        Работать удаленно у нас — прибыльно        Всегда много новых заказов.       Оплата стабильно раз в 2 недели.       Бонус за выполненные работы.        Как стать автором    Чтобы попасть в список исполнителей и начать получать дополнительный доход за заказы, просто зарегистрируйтесь и пройдите тестирование.   Сдав тест, Вы становитесь нашим автором и можете откликаться на заказы по своей тематике.    Если Вы кандидат или доктор наук‚ тестирование проходить не нужно. Просто пришлите скан диплома с подтверждением Вашей степени.    Делайте то, что нравится, в удобном для Вас графике и получайте дополнительный доход, работая с Work5.     ",Частичная занятость,Удаленная работа,Нет опыта,|Английский язык|Пользователь ПК|1С: Документооборот|Грамотность|Грамотная речь,,100000.0,,50000.0,автор по информационным системам и технологиям,"Есть законченное высшее образование? У Вас свободный доступ в интернет — не проблема? Попробуйте себя в новом амплуа, если хоть что...",Кому подходит работа автором. Всегда много новых заказов. Как стать автором.,0.4,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1
Санкт-Петербург,Ворк,2019-11-24T07:36:09+0300," Work5 помогает студентам, когда нужно сделать все строго по методичке и успеть в срок.   Мы ищем сотрудников на  удаленную работу.    Если Вы умны, ответственны и заинтересованы в дополнительном заработке — зарегистрируйтесь и пройдите тестирование. Больше ничего не требуется, чтобы получить работу автором с постоянным доходом.    Кому подходит работа автором    Есть законченное высшее образование или Вы студент старшего курса?   У Вас свободный доступ в интернет — не проблема?   Попробуйте себя в новом амплуа, если хоть что-то из этого можно сказать о Вас:       грамотный,       дотошный,       исполнительный,       ответственный,       умеете укладываться в дедлайн.        Мы предлагаем:        Задания на выбор.       Дополнительный доход, зависящий от Ваших умений.       Свободный график.        Работать удаленно у нас — прибыльно        Всегда много новых заказов.       Оплата стабильно раз в 2 недели.       Бонус за выполненные работы.        Как стать автором    Чтобы попасть в список исполнителей и начать получать дополнительный доход за заказы, просто зарегистрируйтесь и пройдите тестирование.   Сдав тест, Вы становитесь нашим автором и можете откликаться на заказы по своей тематике.    Если Вы кандидат или доктор наук‚ тестирование проходить не нужно. Просто пришлите скан диплома с подтверждением Вашей степени.    Делайте то, что нравится, в удобном для Вас графике и получайте дополнительный доход, работая с Work5.     ",Частичная занятость,Удаленная работа,Нет опыта,|Английский язык|Пользователь ПК|1С: Документооборот|Грамотность|Грамотная речь,,100000.0,,50000.0,автор по программированию,Есть законченное высшее образование или Вы студент старшего курса? У Вас свободный доступ в интернет — не проблема? Попробуйте себя в...,Кому подходит работа автором. Всегда много новых заказов. Как стать автором.,0.6333333333333333,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1
Санкт-Петербург,Zaochnik.com,2019-12-02T16:44:44+0300," Компания  Zaochnik  была создана в 2000 году, поэтому является одним из первых отечественных масштабных проектов в сфере написания работ на заказ. За это время мы помогли десяткам тысяч наших клиентов сдать курсовые, дипломные, контрольные работы на отлично, получить высшее образование, защитить магистерские, докторские и кандидатские диссертации. Компания является официально зарегистрированным юридическим лицом и несет за качество своих услуг ответственность, предусмотренную законодательством РФ.    Обязанности:    - Качественное выполнение студенческих работ (контрольные, рефераты, лабораторные, курсовые, дипломные, магистерские) по таким дисциплинам как  C#, C/C++, PHP, информационные технологии, информационная безопасность и т.д.  - Выполнение доработок - Соблюдение сроков и требований заказчика  Требования:  - Законченное высшее образование - Наличие учёной степени будет преимуществом - Опыт преподавания по профилю - Опыт выполнения студенческих работ будет преимуществом - Опытный пользователь ПК - Свободный доступ в интернет - Следование стандартам компании - Готовность работать в сжатые сроки - Регулярная проверка личного кабинета автора    Условия:  - Удаленная работа - Свободный график - Система поощрений и премирования - Ежедневная поддержка по заказам и организационным моментам - Возможность регулировать занятость - Большой выбор заказов    Преимущества:  - Полная анонимность - Быстрая обратная связь - Обучение пользованию личным кабинетом - Обучение стандартам выполнения работ в компании - Сотрудничество, как с физическими лицами, так и с ИП - Коммуникация через менеджера - Удобные способы оплаты. ",Частичная занятость,Удаленная работа,От 1 года до 3 лет,|C++|C#|SQL|MySQL|PHP|JavaScript|Java|Joomla CMS|Управление проектами|Python|MS SQL,3.0,100000.0,1.0,50000.0,автор студенческих работ по информационным технологиям,Законченное высшее образование. - Наличие учёной степени будет преимуществом. - Опыт преподавания по профилю. - Опыт выполнения студенческих работ будет преимуществом. - ,"Качественное выполнение студенческих работ (контрольные, рефераты, лабораторные, курсовые, дипломные, магистерские) по таким дисциплинам как C#, C/C++, PHP, информационные технологии...",0.36666666666666664,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Санкт-Петербург,AdMe,2019-11-19T10:54:59+0300," Привет!    AdMe  (мировое название TheSoul Publishing) – одно из самых больших интернет-издательств в мире. Мы ежедневно создаем и публикуем сотни развлекательных и познавательных статей и видео для 500+ миллионов подписчиков. Мы растём и развиваемся, и сейчас мы готовы принять в свои ряды  талантливых авторов !    Если ты:      Настоящий генератор идей;   Любишь работать с текстами и готов подбирать к ним картинки;   Умеешь красиво и лаконично выражать свои мысли;   Не боишься критики и стремишься совершенствовать свои навыки;   Готов выполнить тестовое задание, состоящее из двух этапов;   Знаком с контентом AdMe...     ... то обязательно  откликайся!     Мы предлагаем:      Бесценный опыт работы в быстро развивающейся международной компании;   Прекрасную команду профессионалов, которые всегда готовы поделиться опытом;   Возможность работать из любого места, где тебя посещает вдохновение;   Комфортный график работы - 6-8 часов в день;   Достойную оплата труда.          Откликайтесь на вакансию и узнайте, как создается AdMe, у нас действительно круто!     P.S. Мы любим сопроводительные письма)      ",Полная занятость,Удаленная работа,Нет опыта,|Пользователь ПК|Поиск информации в интернет|Грамотность|Креативность|Написание текстов|Работа в команде,,100000.0,,50000.0,автор на портал adme,Любишь работать с текстами и готов подбирать к ним картинки.,Знаком с контентом AdMe...,0.8,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1
Санкт-Петербург,ИКАР АВТОПЕЙНТС,2019-11-25T14:24:08+0300,"  Обязанности:      Работа с имеющейся базой клиентов;   Активный поиск новых клиентов;      Требование:      Опытное владение ПК (электронная почта, Интернет, Microsoft Office);   Опыт в продажах будет Вашим преимуществом;   Ориентация на результат, умение грамотно строить беседу, желание работать в сфере продаж;   Желательно знание линейки ЛКМ;      Условия:      График работы 5/2 с 9 до 18, выходные суб., вс.   Оформление по ТК РФ;   Корпоративная мобильная связь;   Компенсация ГСМ;   Работа во Фрунзенском и Красногвардейском районе СПб   ",Полная занятость,Полный день,От 1 года до 3 лет,,3.0,100000.0,1.0,50000.0,менеджер по продажам авторемонтных лкм,"Опытное владение ПК (электронная почта, Интернет, Microsoft Office). Опыт в продажах будет Вашим преимуществом. Ориентация на результат, умение грамотно строить...",Работа с имеющейся базой клиентов. Активный поиск новых клиентов.,0.6,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Санкт-Петербург,Ворк,2019-11-28T11:19:32+0300," Work5 помогает студентам, когда нужно сделать все строго по методичке и успеть в срок.   Мы ищем сотрудников на  удаленную работу.    Если Вы умны, ответственны и заинтересованы в дополнительном заработке — зарегистрируйтесь и пройдите тестирование. Больше ничего не требуется, чтобы получить работу автором с постоянным доходом.    Кому подходит работа автором    Есть законченное высшее образование?   У Вас свободный доступ в интернет — не проблема?   Попробуйте себя в новом амплуа, если хоть что-то из этого можно сказать о Вас:       грамотный,       дотошный,       исполнительный,       ответственный,       умеете укладываться в дедлайн.        Мы предлагаем:        Задания на выбор.       Дополнительный доход, зависящий от Ваших умений.       Свободный график.        Работать удаленно у нас — прибыльно        Всегда много новых заказов.       Оплата стабильно раз в 2 недели.       Бонус за выполненные работы.        Как стать автором    Чтобы попасть в список исполнителей и начать получать дополнительный доход за заказы, просто зарегистрируйтесь и пройдите тестирование.   Сдав тест, Вы становитесь нашим автором и можете откликаться на заказы по своей тематике.    Если Вы кандидат или доктор наук‚ тестирование проходить не нужно. Просто пришлите скан диплома с подтверждением Вашей степени.    Делайте то, что нравится, в удобном для Вас графике и получайте дополнительный доход, работая с Work5.     ",Частичная занятость,Удаленная работа,Нет опыта,|Английский язык|Пользователь ПК|1С: Документооборот|Грамотность|Грамотная речь,,100000.0,,50000.0,автор по радиосвязи,"Есть законченное высшее образование? У Вас свободный доступ в интернет — не проблема? Попробуйте себя в новом амплуа, если хоть что...",Кому подходит работа автором. Всегда много новых заказов. Как стать автором.,0.5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1
Екатеринбург,Ворк,2019-12-01T08:01:36+0300," Work5 помогает студентам, когда нужно сделать все строго по методичке и успеть в срок.   Мы ищем сотрудников на  удаленную работу.    Если Вы умны, ответственны и заинтересованы в дополнительном заработке — зарегистрируйтесь и пройдите тестирование. Больше ничего не требуется, чтобы получить работу автором с постоянным доходом.    Кому подходит работа автором    Есть законченное высшее образование?   У Вас свободный доступ в интернет — не проблема?   Попробуйте себя в новом амплуа, если хоть что-то из этого можно сказать о Вас:       грамотный,       дотошный,       исполнительный,       ответственный,       умеете укладываться в дедлайн.        Мы предлагаем:        Задания на выбор.       Дополнительный доход, зависящий от Ваших умений.       Свободный график.        Работать удаленно у нас — прибыльно        Всегда много новых заказов.       Оплата стабильно раз в 2 недели.       Бонус за выполненные работы.        Как стать автором    Чтобы попасть в список исполнителей и начать получать дополнительный доход за заказы, просто зарегистрируйтесь и пройдите тестирование.   Сдав тест, Вы становитесь нашим автором и можете откликаться на заказы по своей тематике.    Если Вы кандидат или доктор наук‚ тестирование проходить не нужно. Просто пришлите скан диплома с подтверждением Вашей степени.    Делайте то, что нравится, в удобном для Вас графике и получайте дополнительный доход, работая с Work5.     ",Частичная занятость,Удаленная работа,Нет опыта,|Английский язык|Пользователь ПК|1С: Документооборот|Грамотность|Грамотная речь,,90000.0,,50000.0,автор по информатике,"Есть законченное высшее образование? У Вас свободный доступ в интернет — не проблема? Попробуйте себя в новом амплуа, если хоть что...",Кому подходит работа автором. Всегда много новых заказов. Как стать автором.,0.4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1
Екатеринбург,Ворк,2019-12-01T08:01:34+0300," Work5 помогает студентам, когда нужно сделать все строго по методичке и успеть в срок.   Мы ищем сотрудников на  удаленную работу.    Если Вы умны, ответственны и заинтересованы в дополнительном заработке — зарегистрируйтесь и пройдите тестирование. Больше ничего не требуется, чтобы получить работу автором с постоянным доходом.    Кому подходит работа автором    Есть законченное высшее образование?   У Вас свободный доступ в интернет — не проблема?   Попробуйте себя в новом амплуа, если хоть что-то из этого можно сказать о Вас:       грамотный,       дотошный,       исполнительный,       ответственный,       умеете укладываться в дедлайн.        Мы предлагаем:        Задания на выбор.       Дополнительный доход, зависящий от Ваших умений.       Свободный график.        Работать удаленно у нас — прибыльно        Всегда много новых заказов.       Оплата стабильно раз в 2 недели.       Бонус за выполненные работы.        Как стать автором    Чтобы попасть в список исполнителей и начать получать дополнительный доход за заказы, просто зарегистрируйтесь и пройдите тестирование.   Сдав тест, Вы становитесь нашим автором и можете откликаться на заказы по своей тематике.    Если Вы кандидат или доктор наук‚ тестирование проходить не нужно. Просто пришлите скан диплома с подтверждением Вашей степени.    Делайте то, что нравится, в удобном для Вас графике и получайте дополнительный доход, работая с Work5.     ",Частичная занятость,Удаленная работа,Нет опыта,|Английский язык|Пользователь ПК|1С: Документооборот|Грамотность|Грамотная речь,,90000.0,,50000.0,автор по информационным системам и технологиям,"Есть законченное высшее образование? У Вас свободный доступ в интернет — не проблема? Попробуйте себя в новом амплуа, если хоть что...",Кому подходит работа автором. Всегда много новых заказов. Как стать автором.,0.4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1
Екатеринбург,Ворк,2019-11-28T11:19:32+0300," Work5 помогает студентам, когда нужно сделать все строго по методичке и успеть в срок.   Мы ищем сотрудников на  удаленную работу.    Если Вы умны, ответственны и заинтересованы в дополнительном заработке — зарегистрируйтесь и пройдите тестирование. Больше ничего не требуется, чтобы получить работу автором с постоянным доходом.    Кому подходит работа автором    Есть законченное высшее образование?   У Вас свободный доступ в интернет — не проблема?   Попробуйте себя в новом амплуа, если хоть что-то из этого можно сказать о Вас:       грамотный,       дотошный,       исполнительный,       ответственный,       умеете укладываться в дедлайн.        Мы предлагаем:        Задания на выбор.       Дополнительный доход, зависящий от Ваших умений.       Свободный график.        Работать удаленно у нас — прибыльно        Всегда много новых заказов.       Оплата стабильно раз в 2 недели.       Бонус за выполненные работы.        Как стать автором    Чтобы попасть в список исполнителей и начать получать дополнительный доход за заказы, просто зарегистрируйтесь и пройдите тестирование.   Сдав тест, Вы становитесь нашим автором и можете откликаться на заказы по своей тематике.    Если Вы кандидат или доктор наук‚ тестирование проходить не нужно. Просто пришлите скан диплома с подтверждением Вашей степени.    Делайте то, что нравится, в удобном для Вас графике и получайте дополнительный доход, работая с Work5.     ",Частичная занятость,Удаленная работа,Нет опыта,|Английский язык|Пользователь ПК|1С: Документооборот|Грамотность|Грамотная речь,,90000.0,,50000.0,автор по радиосвязи,"Есть законченное высшее образование? У Вас свободный доступ в интернет — не проблема? Попробуйте себя в новом амплуа, если хоть что...",Кому подходит работа автором. Всегда много новых заказов. Как стать автором.,0.5,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1
Екатеринбург,Ворк,2019-11-24T07:36:10+0300," Work5 помогает студентам, когда нужно сделать все строго по методичке и успеть в срок.   Мы ищем сотрудников на  удаленную работу.    Если Вы умны, ответственны и заинтересованы в дополнительном заработке — зарегистрируйтесь и пройдите тестирование. Больше ничего не требуется, чтобы получить работу автором с постоянным доходом.    Кому подходит работа автором    Есть законченное высшее образование или Вы студент старшего курса?   У Вас свободный доступ в интернет — не проблема?   Попробуйте себя в новом амплуа, если хоть что-то из этого можно сказать о Вас:       грамотный,       дотошный,       исполнительный,       ответственный,       умеете укладываться в дедлайн.        Мы предлагаем:        Задания на выбор.       Дополнительный доход, зависящий от Ваших умений.       Свободный график.        Работать удаленно у нас — прибыльно        Всегда много новых заказов.       Оплата стабильно раз в 2 недели.       Бонус за выполненные работы.        Как стать автором    Чтобы попасть в список исполнителей и начать получать дополнительный доход за заказы, просто зарегистрируйтесь и пройдите тестирование.   Сдав тест, Вы становитесь нашим автором и можете откликаться на заказы по своей тематике.    Если Вы кандидат или доктор наук‚ тестирование проходить не нужно. Просто пришлите скан диплома с подтверждением Вашей степени.    Делайте то, что нравится, в удобном для Вас графике и получайте дополнительный доход, работая с Work5.     ",Частичная занятость,Удаленная работа,Нет опыта,|Английский язык|Пользователь ПК|1С: Документооборот|Грамотность|Грамотная речь,,90000.0,,50000.0,автор по программированию,Есть законченное высшее образование или Вы студент старшего курса? У Вас свободный доступ в интернет — не проблема? Попробуйте себя в...,Кому подходит работа автором. Всегда много новых заказов. Как стать автором.,0.6333333333333333,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1
Екатеринбург,Ворк,2019-12-08T07:07:38+0300," Work5 помогает студентам, когда нужно сделать все строго по методичке и успеть в срок.   Мы ищем сотрудников на  удаленную работу.    Если Вы умны, ответственны и заинтересованы в дополнительном заработке — зарегистрируйтесь и пройдите тестирование. Больше ничего не требуется, чтобы получить работу автором с постоянным доходом.    Кому подходит работа автором    Есть законченное высшее образование?   У Вас свободный доступ в интернет — не проблема?   Попробуйте себя в новом амплуа, если хоть что-то из этого можно сказать о Вас:       грамотный,       дотошный,       исполнительный,       ответственный,       умеете укладываться в дедлайн.        Мы предлагаем:        Задания на выбор.       Дополнительный доход, зависящий от Ваших умений.       Свободный график.        Работать удаленно у нас — прибыльно        Всегда много новых заказов.       Оплата стабильно раз в 2 недели.       Бонус за выполненные работы.        Как стать автором    Чтобы попасть в список исполнителей и начать получать дополнительный доход за заказы, просто зарегистрируйтесь и пройдите тестирование.   Сдав тест, Вы становитесь нашим автором и можете откликаться на заказы по своей тематике.    Если Вы кандидат или доктор наук‚ тестирование проходить не нужно. Просто пришлите скан диплома с подтверждением Вашей степени.    Делайте то, что нравится, в удобном для Вас графике и получайте дополнительный доход, работая с Work5.     ",Частичная занятость,Удаленная работа,Нет опыта,|Английский язык|Пользователь ПК|1С: Документооборот|Грамотность|Грамотная речь,,90000.0,,50000.0,автор по математическому моделированию,"Есть законченное высшее образование? У Вас свободный доступ в интернет — не проблема? Попробуйте себя в новом амплуа, если хоть что...",Кому подходит работа автором. Всегда много новых заказов. Как стать автором.,0.16666666666666666,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1
Екатеринбург,Homework,2019-11-17T13:55:56+0300,"   Компания Homework занимает на рынке образовательных услуг лидирующие позиции более 15 лет! Сегодня мы приглашаем к сотрудничеству авторов работ по Hyper V.          Вы Автор? Чем может быть полезен Homework Вам?      Вы можете выполнять столько заказов, сколько позволяет Ваш график, и по тем направлениям, которые Вам интересны.   Вы гарантированно и в срок получаете вознаграждение за выполненную работу (у нас есть для этого все технические возможности).   У Вас есть личный менеджер, который курирует заказы, и готов ответить на любой Ваш вопрос, что отличает нас от других аналогичных порталов.   Вам предоставляется уникальный on-line сервис, который в Вашем распоряжении 24 часа.          Наши пожелания к кандидату:      Высшее образование (наличие ученой степени или звания -   желательно  )   Опыт написания работ, или опыт преподавания в учебных заведениях будет Вашим преимуществом;   Опыт практической деятельности в данной сфере - будет   преимуществом;     Если Вы готовы писать работы технических направлений (и Ваша квалификация позволяет писать Вам работы повышенной сложности), то мы особенно заинтересованы в сотрудничестве!          Что Вам нужно сделать для того, чтобы стать автором?      Шаг 1. Вы отправляете отклик на данную вакансию и с Вами связывается наш менеджер.   Шаг 2. Вы создаете личный кабинет и начинаете пользоваться системой.   Шаг 3. Вы начинаете работать!   ",Частичная занятость,Удаленная работа,Нет опыта,|Написание статей,,90000.0,,46666.66666666666,автор работ по hyper v,"Высшее образование (наличие ученой степени или звания - желательно). Опыт написания работ, или опыт преподавания в учебных заведениях будет Вашим преимуществом. ",Без обязанностей,0.8666666666666667,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
