city,company-name,date,description,employment-form,employment-schedule,experience,key_skills,max-experience,max-salary,min-experience,min-salary,name,requirements,responsibilities,days_from_publish,min-salary-group,max-salary-group,city: Екатеринбург,city: Казань,city: Москва,city: Новосибирск,city: Санкт-Петербург,experience: Более 6 лет,experience: Нет опыта,experience: От 1 года до 3 лет,experience: От 3 до 6 лет,employment-form: Полная занятость,employment-form: Проектная работа,employment-form: Стажировка,employment-form: Частичная занятость,employment-schedule: Вахтовый метод,employment-schedule: Гибкий график,employment-schedule: Полный день,employment-schedule: Сменный график,employment-schedule: Удаленная работа,монтаж оборудования,монтаж инженерных систем,настройка сетевых подключений,системы видеонаблюдения,электрические системы и слаботочные системы,прокладка кабелей,пользователь пк,производство строительно-монтажных работ,слаботочные системы,работа в команде,other
Москва,Домофон-Сервис,2019-11-18T09:23:53+0300,"  Обязанности:    - Прокладка СКС, установка видеодомофонов, домофонов, протяжка стояков, монтаж домофонов и видеонаблюдения, подключение оборудования к электросети.    Требования:      Опыт прокладки СКС, навыки настройки сетевого оборудования (уровня бытового роутера), базовые навыки электрика.      Условия:      Официальное оформление по ТК РФ, отпуск и больничный лист оплачиваемые.   Режим работы с 09.00. до 18.00. (5/2)   Зарплата &quot;белая&quot; (оклад 46000руб) два раза в месяц на банковскую карту   Оплачиваемый проезд     Возможно обучение ",Полная занятость,Полный день,От 1 года до 3 лет,|Электрические системы и слаботочные системы|слаботочные системы|домофония,3.0,50000.0,1.0,46000.0,монтажник слаботочных систем,"Опыт прокладки СКС, навыки настройки сетевого оборудования (уровня бытового роутера), базовые навыки электрика.","Прокладка СКС, установка видеодомофонов, домофонов, протяжка стояков, монтаж домофонов и видеонаблюдения, подключение оборудования к электросети.",0.8333333333333334,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1
Москва,АВИТЕКС,2019-11-18T20:48:31+0300," МОНТАЖНИК ОБОРУДОВАНИЯ СОТОВОЙ СВЯЗИ   Приглашаем сотрудников для модернизации и строительства базовых станций ТЕЛЕ 2 / БИЛАЙН / HUAWEI   Требования: - стройка БС в соответствии с нормами строительства и стандартам оператора. - получение / возврат оборудования через склад. - опыт в сфере строительства БС приветствуется. - исполнительность, ответственность, организованность, умение работать в команде. - желание расти и развиваться как специалист.   Условия: - разъездной характер работы. - ЕЖЕДНЕВНАЯ ОПЛАТА РАБОТЫ. - возможность обучения в процессе работы. - иногородним предоставляется общежитие. - возможна компенсация ГСМ.     ",Полная занятость,Полный день,От 1 года до 3 лет,|Работа в команде|Пользователь ПК,3.0,120000.0,1.0,100000.0,монтажник базовых станций,"опыт в сфере строительства БС приветствуется. - исполнительность, ответственность, организованность, умение работать в команде. - желание расти и развиваться как специалист.",стройка БС в соответствии с нормами строительства и стандартам оператора. - получение / возврат оборудования через склад.,0.8333333333333334,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1
Москва,ДИГИС,2019-12-04T12:12:09+0300, Обязанности:     прокладка кабельных линий внутри зданий   монтаж лотков   монтаж патч-панелей   монтаж разъемов RJ-45   сборка телекоммуникационных шкафов   тестирование кабельных линий     Требования:     знание и навыки по монтажу СКС   знание норм и правил монтажа СКС   умение читать схемы   умение составлять кабельные журналы   навыки в работе с кабельными тестерами Fluke     Условия:     полный рабочий день   трудоустройство по ТК   ,Полная занятость,Полный день,Нет опыта,|монтаж СКС,,85000.0,,50000.0,монтажник слаботочных систем,Знание и навыки по монтажу СКС. Знание норм и правил монтажа СКС. Умение читать схемы. Умение составлять кабельные журналы. ,Прокладка кабельных линий внутри зданий. Монтаж лотков. Монтаж патч-панелей. Монтаж разъемов RJ-45. Сборка телекоммуникационных шкафов. Тестирование кабельных линий.,0.3,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Москва,JCat.ru,2019-12-09T12:22:48+0300," Вакансия компании : «Прайдекс Групп»   PRIDEX - профессиональная строительная компания, осуществляющая полный цикл услуг по проектированию, строительству и инженерному оснащению объектов коммерческой недвижимости, занимающая лидирующие позиции на российском рынке FIT-OUT.   Обязанности :  Монтаж систем видеонаблюдения, охранной, пожарной сигнализации, контроля доступа и др.   Требования к квалификации :  Опыт работы по системам ОПС, СКУД, Видеонаблюдения, приветствуется опыт работы с системой Болид. Умение работать с инструментами, чтение монтажных схем. Так же рассматриваются кандидаты с минимальным опытом работы.   Образование : среднее специальное   Условия работы :  -Стабильная работа в крупной строительной компании -Оформление по ТК РФ с первого дня трудоустройства -Предоставляем спец.одежду и инструмент от компании -Возможности профессионального роста и стабильный доход гарантированы   Спецодежда : да",Полная занятость,Полный день,От 1 года до 3 лет,,3.0,75000.0,1.0,65000.0,монтажник слаботочных систем,"Опыт работы по системам ОПС, СКУД, Видеонаблюдения, приветствуется опыт работы с системой Болид. Умение работать с инструментами, чтение монтажных схем. ","Монтаж систем видеонаблюдения, охранной, пожарной сигнализации, контроля доступа и др.",0.13333333333333333,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Москва,Информационное агентство России ТАСС,2019-12-11T12:58:06+0300," Уважаемые соискатели, в случае заинтересованности в нашей вакансии, укажите ваши зарплатные ожидания в сопроводительном письме при отклике.    Обязанности:      Подключение и обслуживание:     - структурированной кабельной сети;   - телевизионной сети (сети телерадиовещания);   - обслуживание беспроводной сети передачи данных;   - сети телефонии;   - волоконно-оптических линий связи;     Обеспечение переездов и перемещений вычислительной техники пользователей с сохранением полной функциональности и работоспособности;      Требования:      Умение работать с оргтехникой, знание компьютерного и коммуникационного оборудования, основных принципов построения корпоративных локально-вычислительных сетей;   Знание принципов построения и работы слаботочных систем;   Опыт работы по монтажу кабелей СКС, ТВ сети;   Опыт работы с оптическими кабелями и патч-кордами;   Владение электроинструментом;   Навыки выполнения слесарных, столярных, монтажных работ;   Умение разбираться в технической документации;      Условия:       стабильность  - полное соблюдение ТК РФ, пятидневная рабочая неделя;    отличная команда  – профессионалы, увлеченные свои делом;    удобное местоположение  – офис находится в самом центре Москвы, в шаговой доступности от метро (Пушкинская, Арбатская, Чеховская, Тверская) и с видом на Кремль;    профессиональное развитие  – у нас проходят регулярные семинары и тренинги, а также мы даем возможность изучать иностранные языки за счет компании;    комфорт  – в офисе есть кафе и столовая; в шаговой доступности множество заведений на любой вкус.   ",Полная занятость,Полный день,От 3 до 6 лет,|Настройка сетевых подключений|Прокладка кабелей|Монтаж оборудования,6.0,76666.66666666669,3.0,58714.285714285725,монтажник слаботочных систем,"Умение работать с оргтехникой, знание компьютерного и коммуникационного оборудования, основных принципов построения корпоративных локально-вычислительных сетей. Знание принципов построения и...",Подключение и обслуживание: Обеспечение переездов и перемещений вычислительной техники пользователей с сохранением полной функциональности и работоспособности.,0.06666666666666667,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1
Москва,Группа компаний «Тауэр»,2019-11-26T16:20:00+0300,  Обязанности:      Монтаж систем ОПС и СКС.      Требования:      Навыки монтажа оборудования и прокладки кабельных систем;   Опыт монтажных работ от года.      Условия:      Оформление по ТК РФ на условиях СРОЧНОГО трудового договора с первого рабочего дня;   &quot;Белая&quot; заработная плата;   Окладная система оплаты труда;   График работы: понедельник-пятница с 9.00 до 18.00;   Дружный коллектив компании с 25-летней историей;   Работа на объектах в пределах административных границ Москвы.   ,Полная занятость,Полный день,От 1 года до 3 лет,,3.0,50000.0,1.0,45000.0,монтажник слаботочных систем,Навыки монтажа оборудования и прокладки кабельных систем. Опыт монтажных работ от года.,Монтаж систем ОПС и СКС.,0.5666666666666667,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Москва,Сложные задачи,2019-12-09T10:33:56+0300,"  Обязанности:     Монтаж систем пожарной сигнализации и голосового оповещения. Монтаж систем СКС, контроля доступа, видеонаблюдения. Прокладка слаботочных и электрических кабелей по стандартам, принятым в отрасли. Работа с ручным электроинструментом, измерительными приборами.    Требования:   Профильное образование. Опыт в монтаже, настройке, пусконаладочных работах и тестирование указанных систем. Умение читать и понимать рабочую документацию по указанным системам. Личные качества: ответственность, аккуратность, самостоятельность, организованность, коммуникабельность.   Условия:   - Оформление по ТК (с первого дня) - Пятидневная рабочая неделя - (сб вс выходные) - Офис в пешей доступности от м. Авиамоторная и МЦК Андроновка - Дружный коллектив - Заработная плата 50 000 руб на испытательном сроке, далее от 60 000 руб.(Без задержек) ",Полная занятость,Полный день,От 1 года до 3 лет,|Монтаж оборудования|Производство строительно-монтажных работ|Монтаж инженерных систем|Электрические системы и слаботочные системы|Производство пусконаладочных работ|Системы видеонаблюдения|слаботочные системы|Чтение чертежей,3.0,76666.66666666669,1.0,50000.0,монтажник слаботочных систем,"Профильное образование. Опыт в монтаже, настройке, пусконаладочных работах и тестирование указанных систем. Умение читать и понимать рабочую документацию по указанным...","Монтаж систем пожарной сигнализации и голосового оповещения. Монтаж систем СКС, контроля доступа, видеонаблюдения. Прокладка слаботочных и электрических кабелей по стандартам...",0.13333333333333333,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,1,1,0,1
Москва,Тералайн Телеком Связь,2019-11-26T14:27:52+0300,"  Обязанности:      прокладка кабеля внутри зданий: UTP и кабеля питания 220В;   монтаж коробов и лотков;   телекоммуникационных шкафов, монтаж оборудования;   монтаж кабельных оконечных кроссов, патчпанелей, розеток;   прокладка оптоволоконных &quot;воздушек&quot; ;   монтажные работы на чердачных помещениях и крышах.          Требования:      опыт работы от 1 года;   понимание основ построения сетей связи, знание организации и обслуживания локальных сетей и телефонных сетей;   опыт монтажа телекоммуникационного оборудования, кабельных линий (как на чердачных помещениях, так и непосредственно на крышах зданий);   опыт работы с измерительными приборами : Lan-тестер.   знание техники безопасности;   навыки электромонтажа 220В - подключение к фазе, монтаж розеток;              Условия:      испытательный срок 1 месяц;   оформление по ТК РФ;   рабочий день 5-2 с 9-00 до 18-00 (максимально до 19-00, если необходимо завершить работу на объекте);   оклад 55 000 рублей &quot;на руки&quot; + бонусы за интенсивность.   оплата моб. связи;   работа в паре с другим монтажником на время стажировки.   ",Полная занятость,Полный день,От 1 года до 3 лет,|Монтаж оборудования|Прокладка кабелей|Электромонтажные работы,3.0,80000.0,1.0,55000.0,монтажник,"Опыт работы от 1 года. Понимание основ построения сетей связи, знание организации и обслуживания локальных сетей и телефонных сетей. ","Прокладка кабеля внутри зданий: UTP и кабеля питания 220В. Монтаж коробов и лотков. Телекоммуникационных шкафов, монтаж оборудования. ",0.5666666666666667,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
Санкт-Петербург,СтройМонолитСервис,2019-11-20T11:14:53+0300,"  Обязанности:      Прокладка слаботочных, оптических кабелей;   Монтаж видеонаблюдения;   Составление кабельного журнала;   Монтаж оборудования в стойку;   Расшивка пользовательских розеток и патч-панелей;   Маркировка;   Подключение оборудования      Требования:      Опыт работы в сфере монтажа СКС от 6 месяцев;   Навыки работы с ручным и электроинструментом;   Пунктуальность, аккуратность, ответственность;   Знание и соблюдение техники безопасности.      Условия:      Пятидневка с 9-00 до 18-00 (суббота, воскресенье - выходные);   Трудоустройство по ТК РФ, оплата ежегодных отпусков, больничных листов;     Работа на строительных объектах в районах пгт Красный бор и д.Лемболово;         ",Полная занятость,Полный день,От 1 года до 3 лет,|Прокладка кабелей|Работа с оргтехникой|Навыки составления отчетности|Творческое мышление,3.0,62142.857142857145,1.0,45000.0,монтажник скс сот,"Опыт работы в сфере монтажа СКС от 6 месяцев. Навыки работы с ручным и электроинструментом. Пунктуальность, аккуратность, ответственность. ","Прокладка слаботочных, оптических кабелей. Монтаж видеонаблюдения. Составление кабельного журнала. Монтаж оборудования в стойку. Расшивка пользовательских розеток и патч-панелей. Маркировка. ",0.7666666666666667,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
Санкт-Петербург,AN-SECURITY,2019-11-25T10:44:28+0300,"  Обязанности:    Монтаж оборудования систем видеонаблюдения, контроля доступа, охранной и пожарной сигнализации ;   Монтаж кабельных линий слаботочных и электрических сетей ;   Неукоснительное соблюдение норм охраны труда на действующих объектах компании, прохождение всех установленных видов инструктажа на объекте ;   Работа с монтажными электрическими схемам, проектной и рабочей документацией ;   Бережное отношение к имуществу компании, принятие мер к недопущению его уничтожения или поломки.        Требования:    Удостоверения электрика до 1000В, удостоверение на высотные работы, удостоверение рабочего люльки (при необходимости помогаем получить);   Умение работать с электроинструментом: перфоратор, шуроповерт, болгарка ;   Опыт работы по данному профилю от 1 года ;        Условия:    Рабочее место : СПб., 10-я Советская ул.;   График работы сменный ( выходные плавающие ) ;   Оформление по ТК РФ с первого дня ;   Выплаты производятся 3 раза в месяц,на карту.Оклад + % от закрытых объектов ;   Предоставление корпоративной сим-карты .     ",Полная занятость,Полный день,От 1 года до 3 лет,|Электрические системы и слаботочные системы|Монтаж инженерных систем|Проектная документация|Монтаж оборудования,3.0,62142.857142857145,1.0,60000.0,монтажник технических средств охраны,"Умение работать с электроинструментом: перфоратор, шуроповерт, болгарка . Опыт работы по данному профилю от 1 года .","Монтаж оборудования систем видеонаблюдения, контроля доступа, охранной и пожарной сигнализации . Монтаж кабельных линий слаботочных и электрических сетей . Неукоснительное соблюдение норм...",0.6,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1
Санкт-Петербург,Е-март,2019-12-02T20:40:59+0300," Обязанности:     Работы по монтажу слаботочных сетей и подключение оборудования   Системы Видеонаблюдения, СКУД, домофоны, автоматика ворот и шлагбаумы     Требования:     Знание систем Видеонаблюдения, СКУД, Автоматики   Высшее или среднее профессиональное образование     Условия:     Постоянная работа   Оклад + Бонусы   Социальный пакет   Оформление в штат после прохождения испытательного срока   Компенсация затрат на связь проезд   ",Полная занятость,Полный день,От 1 года до 3 лет,|Монтаж оборудования|Производство строительно-монтажных работ|Системы видеонаблюдения|Контроль доступа|Системы охранно-тревожной сигнализации,3.0,62142.857142857145,1.0,45000.0,монтажник слаботочных систем,"Знание систем Видеонаблюдения, СКУД, Автоматики. Высшее или среднее профессиональное образование.","Работы по монтажу слаботочных сетей и подключение оборудования. Системы Видеонаблюдения, СКУД, домофоны, автоматика ворот и шлагбаумы.",0.36666666666666664,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1
Санкт-Петербург,Точка Безопасности,2019-12-11T10:34:29+0300,"  Обязанности :     Производство электромонтажных работ по установке слаботочных систем: АПС, ОС, СКУД, СВН, СКС.      Требования :     Опыт ведения линейного монтажа кабельных линий,   Понимание основных норм, правил и требований при прокладке слаботочных систем и электрики.   Добросовестное отношение к работе и своим обязанностям и коллегам.   Работа в соответствии с должностной инструкцией.      Условия :     Возможен гибкий график, работа по совместительству, сдельная оплата труда.   Работа на объектах в пределах СПб, отсутствие командировок.   Оплата 2 раза в месяц (аванс, зарплата)   Испытательный срок 1 месяц (без сокращения з/п).   Трудоустройство по ТК, 5/2, 9:00-18:00.   Компенсация ГСМ   В случае производственной необходимости предоставляется служебный а/м.           ",Полная занятость,Полный день,От 1 года до 3 лет,|Производство строительно-монтажных работ|Монтаж оборудования|Пожарная сигнализация|Системы видеонаблюдения|Системы охранно-тревожной сигнализации|Локальные сети|Контроль доступа|Электромонтажные работы,3.0,65000.0,1.0,50000.0,монтажник слаботочных систем,"Опыт ведения линейного монтажа кабельных линий. Понимание основных норм, правил и требований при прокладке слаботочных систем и электрики. ","Производство электромонтажных работ по установке слаботочных систем: АПС, ОС, СКУД, СВН, СКС.",0.06666666666666667,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1
Санкт-Петербург,ЕТелеком,2019-12-04T16:24:54+0300,"  Обязанности:      Осуществление строительства слаботочных сетей;   Заполнение актов выполненных работ, договоров и бланков;   Составление отчетности.      Требования:      Опыт работы монтажником ВОЛС/слаботочных систем или электриком будет являться Вашим преимуществом;   Обязательны навыки работы с электроинструментами;   Готовность к большому объёму работы;      Условия:      Ненормированный рабочий день;   Уровень дохода от 60 000 рублей («на руки»), состоит из оклада и сдельной части по результатам выполненных работ за месяц;   Заработная плата выплачивается вовремя и без задержек;   Оплачиваемая мобильная связь;   Официальное трудоустройство согласно ТК РФ;   Предоставление спецодежды и инструментов;   Работа в сильной, развивающейся Компании с прекрасным коллективом профессионалов;   Корпоративные мероприятия - Новый Год,Team building, детские праздники;   Удобное месторасположение (мы находимся в пешей доступности от ст.м. Озерки).       ",Полная занятость,Полный день,Нет опыта,|Монтаж оборудования|Настройка сетевых подключений|Монтаж инженерных систем|Техническое обслуживание|Системы видеонаблюдения|Windows 7|Пользователь ПК|слаботочные системы|Работа в команде|Монтажник ВОЛС|Монтаж слаботочных систем|Кабельщик|Монтажник-слаботочник|Электрические системы и слаботочные системы,,62142.857142857145,,60000.0,монтажник связи линейщик,Опыт работы монтажником ВОЛС/слаботочных систем или электриком будет являться Вашим преимуществом. Обязательны навыки работы с электроинструментами. Готовность к большому...,"Осуществление строительства слаботочных сетей. Заполнение актов выполненных работ, договоров и бланков. Составление отчетности.",0.3,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1,0,1,1,1
Санкт-Петербург,Ленмонтаж,2019-12-03T11:56:10+0300," Строительному холдингу &quot;ООО Ленмонтаж&quot; на строительный объект &quot;ОРЛЕНОК&quot; (Краснодарский край, Туапсинский район, пгт Новомихайловский) требуется  Монтажник слаботочных систем     Обязанности:      Монтаж слаботочных систем: охранно-пожарных систем, систем видеонаблюдения, СОУЭ, СКУД, СКС   Работа с электроинструментом   Установка и настройка охранных систем;      Требования:      Опыт работы на аналогичной должности не менее 1-3 года   Дисциплинированность, ответственность и пунктуальность;   Знание слаботочных систем: АПС, СКУД, СОУЭ, СКС, охранная сигнализация, видеонаблюдение   Умение обращаться с ручным и электроинструментом;   Умение читать чертежи;   Готовность к обучению;   Приветствуется опыт проведения пусконаладочных работ;   Отсутствие медицинских противопоказаний к работе      Условия:      работа на строительном участке Орленок, Краснодарский край, Туапсинский район, пгт Новомихайловский   Оформление по ТК РФ   Премии по результатам работы   Предоставляется электроинструмент, СИЗ   Перелёт, проживание оплачивается   Зарплата сдельная   ЗВОНИТЕ ПО НИЖЕ УКАЗАННОМУ НОМЕРУ!!!! РЕЗУЛЬТАТ БЫСТРЕЕ!!!   ",Полная занятость,Вахтовый метод,От 1 года до 3 лет,,3.0,62142.857142857145,1.0,60000.0,монтажник слаботочных систем,"Опыт работы на аналогичной должности не менее 1-3 года. Дисциплинированность, ответственность и пунктуальность. Знание слаботочных систем: АПС, СКУД, СОУЭ...","Монтаж слаботочных систем: охранно-пожарных систем, систем видеонаблюдения, СОУЭ, СКУД, СКС. Работа с электроинструментом. Установка и настройка охранных систем.",0.3333333333333333,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Санкт-Петербург,Альянс,2019-12-13T14:06:40+0300,"  Обязанности:      Монтаж внутренних и наружных слаботочных сетей (СКС, СКУД);   Прокладка и монтаж кабельных линий;   Монтаж и подключение оборудования;   Монтаж и настройка систем охранной -пожарной сигнализации;   Монтаж и настройка систем телевизионного наблюдения;   Монтаж и настройка локальной сети;   Чтение рабочей документации.          Требования:      Профильное образование приветствуется;   Опыт работы: более 1 года монтажником слаботочных систем, ОПС и видеонаблюдения;   Знание оборудования охранно-пожарной сигнализации и видеонаблюдения;   Знание и умение проводить ремонтные работы и монтаж сетей;   Знание маркировки кабельной продукции.          Условия:      Мы предлагаем работу в динамично развивающейся компании;   График работы 5/2 с 09:00 до 18:00;   Стабильную заработную плату от 30 000 до 50 000 руб. (по результатам испытательного срока).       ",Полная занятость,Полный день,От 1 года до 3 лет,,3.0,50000.0,1.0,45000.0,монтажник слаботочных систем,"Профильное образование приветствуется. Опыт работы: более 1 года монтажником слаботочных систем, ОПС и видеонаблюдения. Знание оборудования охранно-пожарной сигнализации и...","Монтаж внутренних и наружных слаботочных сетей (СКС, СКУД). Прокладка и монтаж кабельных линий. Монтаж и подключение оборудования. Монтаж и настройка...",0.0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Санкт-Петербург,СмартЭйдж,2019-12-11T11:36:46+0300,"  Обязанности:     Монтаж кабельных трасс и оборудования СКС и ЛВС, систем пожарной сигнализации, видеонаблюдения, СКУД и подобных.    Монтаж кабельных трасс на лотках, в кабель-канале и в пластиковой трубе.   Расключение монтажных коробок и оборудования в соответствии со схемами.   Тестирование линий.   Требования:   дисциплинированность и пунктуальность.   Условия:   Оформление в соответствии с ТК РФ; график работы: 8 часов/5 дней в неделю; предоставляются инструмент, спецодежда, обувь    Преимущества работы у нас:  стабильная заработная плата, официальное оформление по ТК РФ, опыт работы на крупных и уникальных объектах, возможность карьерного роста. ",Полная занятость,Полный день,Нет опыта,|монтаж кабельных линий в промышленном или гражданском строительстве|монтаж слаботочных систем на стройке,,62142.857142857145,,40000.0,монтажник слаботочных систем,Дисциплинированность и пунктуальность.,"Монтаж кабельных трасс и оборудования СКС и ЛВС, систем пожарной сигнализации, видеонаблюдения, СКУД и подобных. Монтаж кабельных трасс на лотках...",0.06666666666666667,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Санкт-Петербург,Системы Безопасности,2019-12-13T11:56:04+0300," В следствии увеличения объемов работ и расширения компании требуется мастер-монтажник систем безопасности.    Обязанности :     выезд к клиентам в оговоренное время для производства монтажа, ремонта и настройки оборудования;   выполнение работ согласно технологической инструкции;   прокладка кабельных трасс;   визиты в офис для отчета по выполненным заявкам и получение необходимого для работы оборудования и материалов.       Требования :     опыт работы со слаботочными системами не менее 1 года (СКУД, видеонаблюдение, домофоны);   технические навыки в данной сфере электроники;   наличие навыков работы с электроинструментами;   ответственность;   пунктуальность;   обучаемость;   активная жизненная позиция;   ТРУДОЛЮБИЕ!       Условия :     график работы 5/2 с 9 до 18 (с перерывом на обед);   офис находиться близко к центру рядом с метро;   своевременная оплата труда 2 раза в месяц;   оплата проезда;   оплата мобильной связи;   предоставляем возможность постоянного обучения и повышение Вашей квалификации;   официальное трудоустройство;   возможно трудоустройство с минимальным опытом, при условии обучения;   карьерный рост.         ВАЖНО! Мы ищем людей на долгосрочное сотрудничество! Если вы доводите свои дела до конца, уделяете внимание мелочам, готовы переделать работу, когда понимаете, что сделали что-то не так. Тогда мы вас ждем. ",Полная занятость,Полный день,От 1 года до 3 лет,|Прокладка кабелей|Монтаж оборудования|работа с электроинструментом|работа с тестером|работа с электроникой|Системы видеонаблюдения|Монтаж инженерных систем,3.0,62142.857142857145,1.0,50000.0,монтажник слаботочных систем сервисный мастер,"Опыт работы со слаботочными системами не менее 1 года (СКУД, видеонаблюдение, домофоны). Технические навыки в данной сфере электроники. ","Выезд к клиентам в оговоренное время для производства монтажа, ремонта и настройки оборудования. Выполнение работ согласно технологической инструкции. ",0.0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,1
Санкт-Петербург,Ростелеком,2019-12-12T12:44:15+0300," Обязанности:       Подключение новых абонентов к услугам компании (Интернет, цифровое TV, телефония и «Умный Дом»);       Монтаж, установка и настройка оконечного оборудования;       Консультация пользователей по вопросам настройки абонентского оборудования и работы услуг.       Требования:       Среднее (полное) общее образование;       Знание операционных систем (Windows MacOS и т.д.);       Умение работать с электроинструментом;       Навыки общения с клиентами;       Опыт работы со слаботочными сетями будет Вашим преимуществом;        Условия:      Работа в крупнейшем в России провайдере цифровых услуг и решений;   Оформление  по ТК РФ;    Официальная зарплата: оклад+премия;   Средний ежемесячный доход:  50 000- 55 000  руб.;   График:  сменный   2/2/3 (смены по 12 часов) ;   Характер работы -  разъездной;    Ежемесячная оплата  ГСМ  (11700)   Работа на территории района проживания;     Корпоративное обучение;       Социальный пакет (ДМС, ежегодный оплачиваемый отпуск и т.д.).     ",Полная занятость,Сменный график,Нет опыта,,,62142.857142857145,,40000.0,монтажник слаботочных систем,Среднее (полное) общее образование. Знание операционных систем (Windows MacOS и т.д.). Умение работать с электроинструментом. Навыки общения с клиентами. ,"Подключение новых абонентов к услугам компании (Интернет, цифровое TV, телефония и «Умный Дом»). Монтаж, установка и настройка оконечного оборудования. ",0.03333333333333333,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Санкт-Петербург,Телеком-ВИСТ,2019-12-04T16:20:05+0300," Монтажник по вызову    Обязанности:      Настройка активного оборудования (маршрутизаторы)   проверка работоспособности сети СКС   ремонт сетей СКС     Требования:     Знание что такое СКС,   умение чинить, менять оборудование     Условия:     Работа по требованию.   Разъездная по городу   оплата производится за каждый день работы   гибкий график   оплата ежедневная   ",Полная занятость,Полный день,Нет опыта,|Ремонт ПК|Настройка сетевых подключений|Настройка ПО|Настройка ПК,,62142.857142857145,,40000.0,монтажник слаботочных сетей,"Знание что такое СКС. Умение чинить, менять оборудование.",Настройка активного оборудования (маршрутизаторы). Проверка работоспособности сети СКС. Ремонт сетей СКС.,0.3,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
